Form_ID	Language_ID	Cognateset_ID
1	Badga	I-B
2	Betta_Kurumba	I-B
3	Brahui	I-B
4	Gondi	I-B
5	Kannada	I-B
6	Kodava	I-B
7	Kolami	I-B
8	Kota	I-B
9	Koya	I-B
10	Kurukh	I-B
11	Kuwi	I-B
12	Kuwi	I-B
13	Malayalam	I-B
14	Malto	I-B
15	Ollari_Gadba	I-B
16	Parji	I-B
17	Tamil	I-B
18	Telugu	I-B
19	Toda	I-B
20	Tulu	I-B
21	Yeruva	I-B
22	Badga	all-A
23	Kannada	all-A
24	Kodava	all-A
25	Kota	all-A
26	Malayalam	all-A
27	Tamil	all-A
28	Koya	all-B
29	Telugu	all-B
30	Koya	all-C
31	Telugu	all-C
32	Toda	all-D
33	Telugu	all-E
34	Yeruva	all-F
35	Tulu	all-G
36	Betta_Kurumba	all-H
37	Kuwi	all-I
38	Brahui	all-J
39	Malto	all-K
40	Malto	all-L
41	Kurukh	all-M
42	Kolami	all-N
43	Gondi	all-O
44	Malayalam	ashes-A
45	Malayalam	ashes-A
46	Tamil	ashes-A
47	Badga	ashes-B
48	Betta_Kurumba	ashes-B
49	Kannada	ashes-B
50	Kodava	ashes-B
51	Kota	ashes-B
52	Koya	ashes-B
53	Telugu	ashes-B
54	Toda	ashes-B
55	Yeruva	ashes-B
56	Tulu	ashes-C
57	Tulu	ashes-C
58	Gondi	ashes-D
59	Ollari_Gadba	ashes-D
60	Parji	ashes-D
61	Brahui	ashes-F
62	Kolami	ashes-G
63	Kurukh	ashes-H
64	Badga	bark-A
65	Kodava	bark-A
66	Malayalam	bark-A
67	Tamil	bark-A
68	Telugu	bark-A
69	Kannada	bark-B
70	Kurukh	bark-C
71	Koya	bark-D
72	Telugu	bark-D
73	Kodava	bark-E
74	Koya	bark-F
75	Kannada	bark-G
76	Toda	bark-H
77	Tulu	bark-I
78	Gondi	bark-J
79	Yeruva	bark-J
80	Betta_Kurumba	bark-K
81	Malayalam	bark-K
82	Brahui	bark-L
83	Kolami	bark-M
84	Kota	bark-N
85	Malayalam	belly-A
86	Tamil	belly-A
87	Toda	belly-A
88	Tulu	belly-A
89	Yeruva	belly-A
90	Yeruva	belly-A
91	Badga	belly-B
92	Betta_Kurumba	belly-B
93	Kannada	belly-B
94	Kannada	belly-B
95	Kodava	belly-B
96	Malto	belly-B
97	Parji	belly-B
98	Telugu	belly-B
99	Telugu	belly-C
100	Koya	belly-D
101	Tamil	belly-E
102	Tamil	belly-F
103	Kurukh	belly-G
104	Brahui	belly-H
105	Gondi	belly-H
106	Ollari_Gadba	belly-H
107	Kuwi	belly-I
108	Kolami	belly-J
109	Kota	belly-K
110	Gondi	big-A
111	Koya	big-A
112	Kuwi	big-A
113	Malto	big-A
114	Parji	big-A
115	Tamil	big-A
116	Tamil	big-A
117	Telugu	big-A
118	Kodava	big-B
119	Malayalam	big-B
120	Yeruva	big-B
121	Badga	big-C
122	Kannada	big-C
123	Tulu	big-D
124	Toda	big-E
125	Betta_Kurumba	big-F
126	Brahui	big-G
127	Kurukh	big-H
128	Ollari_Gadba	big-I
129	Kota	big-J
130	Tamil	bird-A
131	Toda	bird-A
132	Betta_Kurumba	bird-B
133	Kannada	bird-B
134	Kannada	bird-B
135	Kodava	bird-B
136	Kota	bird-B
137	Malayalam	bird-B
138	Telugu	bird-B
139	Tulu	bird-B
140	Yeruva	bird-B
141	Gondi	bird-C
142	Kolami	bird-C
143	Koya	bird-C
144	Telugu	bird-C
145	Malayalam	bird-D
146	Kuwi	bird-E
147	Malto	bird-F
148	Brahui	bird-G
149	Kurukh	bird-H
150	Ollari_Gadba	bird-I
151	Betta_Kurumba	bite-A
152	Brahui	bite-A
153	Kannada	bite-A
154	Kodava	bite-A
155	Kota	bite-A
156	Malayalam	bite-A
157	Tamil	bite-A
158	Yeruva	bite-A
159	Toda	bite-B
160	Kolami	bite-C
161	Koya	bite-D
162	Parji	bite-D
163	Telugu	bite-D
164	Badga	bite-F
165	Gondi	bite-F
166	Kannada	bite-F
167	Koya	bite-F
168	Kurukh	bite-F
169	Kuwi	bite-F
170	Tulu	bite-G
171	Malto	bite-H
172	Badga	black-A
173	Betta_Kurumba	black-A
174	Gondi	black-A
175	Kannada	black-A
176	Kodava	black-A
177	Kota	black-A
178	Koya	black-A
179	Malayalam	black-A
180	Tamil	black-A
181	Toda	black-A
182	Tulu	black-A
183	Yeruva	black-A
184	Koya	black-B
185	Telugu	black-B
186	Telugu	black-B
187	Kuwi	black-C
188	Brahui	black-D
189	Kurukh	black-D
190	Kannada	black-E
191	Malto	black-F
192	Kolami	black-G
193	Badga	blood-A
194	Kannada	blood-A
195	Malayalam	blood-A
196	Tamil	blood-A
197	Telugu	blood-A
198	Badga	blood-B
199	Betta_Kurumba	blood-B
200	Brahui	blood-B
201	Gondi	blood-B
202	Kolami	blood-B
203	Kota	blood-B
204	Koya	blood-B
205	Kuwi	blood-B
206	Ollari_Gadba	blood-B
207	Parji	blood-B
208	Telugu	blood-B
209	Tulu	blood-B
210	Kurukh	blood-C
211	Kodava	blood-D
212	Malayalam	blood-D
213	Yeruva	blood-D
214	Toda	blood-E
215	Malto	blood-F
216	Badga	bone-A
217	Betta_Kurumba	bone-A
218	Kannada	bone-A
219	Kota	bone-A
220	Malayalam	bone-A
221	Tamil	bone-A
222	Telugu	bone-A
223	Toda	bone-A
224	Tulu	bone-A
225	Gondi	bone-B
226	Kolami	bone-B
227	Koya	bone-B
228	Koya	bone-B
229	Parji	bone-B
230	Telugu	bone-B
231	Malto	bone-C
232	Kannada	bone-D
233	Kodava	bone-D
234	Yeruva	bone-D
235	Malayalam	bone-E
236	Kurukh	bone-F
237	Brahui	bone-G
238	Badga	breast-A
239	Malayalam	breast-A
240	Tamil	breast-A
241	Tamil	breast-A
242	Kannada	breast-B
243	Koya	breast-B
244	Parji	breast-B
245	Telugu	breast-C
246	Toda	breast-E
247	Kodava	breast-F
248	Kota	breast-F
249	Malayalam	breast-F
250	Yeruva	breast-F
251	Kannada	breast-G
252	Malayalam	breast-G
253	Telugu	breast-G
254	Tulu	breast-H
255	Betta_Kurumba	breast-I
256	Brahui	breast-J
257	Malto	breast-K
258	Kurukh	breast-L
259	Kolami	breast-M
260	Gondi	breast-N
261	Ollari_Gadba	breast-O
262	Kuwi	breast-P
263	Betta_Kurumba	burn-A
264	Telugu	burn-B
265	Kannada	burn-C
266	Kodava	burn-C
267	Yeruva	burn-C
268	Tamil	burn-D
269	Badga	burn-E
270	Betta_Kurumba	burn-E
271	Kota	burn-E
272	Malayalam	burn-E
273	Toda	burn-E
274	Koya	burn-F
275	Telugu	burn-F
276	Tulu	burn-G
277	Brahui	burn-H
278	Gondi	burn-I
279	Malto	burn-J
280	Kurukh	burn-K
281	Kolami	burn-L
282	Malayalam	claw-A
283	Tamil	claw-A
284	Badga	claw-B
285	Brahui	claw-B
286	Gondi	claw-B
287	Kannada	claw-B
288	Kodava	claw-B
289	Kolami	claw-B
290	Koya	claw-B
291	Kurukh	claw-B
292	Kuwi	claw-B
293	Malto	claw-B
294	Parji	claw-B
295	Telugu	claw-B
296	Toda	claw-B
297	Tulu	claw-B
298	Yeruva	claw-C
299	Betta_Kurumba	claw-D
300	Kota	claw-D
301	Brahui	claw-E
302	Ollari_Gadba	claw-F
303	Kannada	cloud-A
304	Kota	cloud-A
305	Malayalam	cloud-A
306	Tamil	cloud-A
307	Telugu	cloud-A
308	Toda	cloud-A
309	Parji	cloud-B
